task,experiment,log,repetition,support_scenario,case_budget,support_prefixes,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,nll,macro_retrieval_given_pool,macro_decision_given_retrieval,multiclass_brier,ece_10,aurc
classification,baseline_weighted_logistic,billing,0,natural,32,118,208,0.75,0.3646199095022624,0.29402212166918046,0.3364207834469733,0.32180179539377674,0.5,0.9134615384615384,3.054069745654645,1.0,0.7292398190045248,0.355677965177834,0.14560046906230611,0.1718342091892369
classification,baseline_random_forest,billing,0,natural,32,118,208,0.8461538461538461,0.36877828054298645,0.29864253393665163,0.3467917789757412,0.3552864782276547,0.6,0.9134615384615384,2.6930667742712533,1.0,0.7375565610859729,0.22363557692307692,0.08341346153846158,0.040181215388216694
classification,baseline_gaussian_nb,billing,0,natural,32,118,208,0.8317307692307693,0.40294117647058825,0.3366013071895425,0.3567612824995926,0.3608113321690694,0.5,0.9134615384615384,3.9425673414162072,1.0,0.8058823529411765,0.3376879738045103,0.16990126409441506,0.11154054945994717
classification,baseline_tabpfn,billing,0,natural,32,118,208,0.8605769230769231,0.3776018099547511,0.30844645550527905,0.34933959694989103,0.3613037958736712,0.6,0.9134615384615384,2.5533942653854735,1.0,0.7552036199095022,0.20634281294613688,0.06858600203234419,0.02323979615747827
classification,baseline_lstm_natural_ce,billing,0,natural,64,255,208,0.8894230769230769,0.3930588235294118,0.3256209150326798,0.3560587902393555,0.37335708582929755,0.6,0.9519230769230769,0.6217136476264151,1.0,0.5615126050420168,0.17399890025696313,0.13721838493186683,0.02521400188587268
classification,baseline_lstm_logit_adjustment,billing,0,natural,64,255,208,0.8894230769230769,0.3930588235294118,0.3256209150326798,0.36720855308949024,0.37945748435847443,0.6,0.9519230769230769,1.1938398898366709,1.0,0.5615126050420168,0.4666171166541622,0.5414637339999865,0.022774949548334998
classification,baseline_lstm_class_weighted_ce,billing,0,natural,64,255,208,0.8509615384615384,0.38811463046757166,0.3201273671861908,0.37590293478451375,0.3788540413231245,0.5,0.9519230769230769,1.1566878447182591,1.0,0.554449472096531,0.46873691957686486,0.453256608846669,0.07126347718087363
classification,baseline_lstm_balanced_softmax,billing,0,natural,64,255,208,0.8942307692307693,0.396,0.32888888888888895,0.3558684622664775,0.37425114863812003,0.6,0.9519230769230769,0.7205477944019035,1.0,0.5657142857142857,0.25516520794569586,0.3041191948219561,0.020479585221193922
classification,baseline_weighted_logistic,billing,0,natural,64,255,208,0.5817307692307693,0.2932398190045249,0.21471091000502765,0.3571046344959389,0.2865343471668634,0.5,0.9519230769230769,2.1341956049401567,1.0,0.4189140271493213,0.41623411936458143,0.09942971665138078,0.2966942395854965
classification,baseline_random_forest,billing,0,natural,64,255,208,0.8798076923076923,0.3890588235294118,0.32117647058823534,0.35836172630951346,0.3723941713415398,0.6,0.9519230769230769,2.156386869795071,1.0,0.555798319327731,0.18290242716947747,0.04518367750756658,0.033264799145324986
classification,baseline_gaussian_nb,billing,0,natural,64,255,208,0.6586538461538461,0.37012669683257915,0.3001407742584213,0.3381264007859753,0.29938533234898623,0.5,0.9519230769230769,6.624677351009041,1.0,0.5287524240465417,0.6749678742956836,0.33902858355630505,0.3069817934848569
classification,baseline_tabpfn,billing,0,natural,64,255,208,0.8942307692307693,0.396,0.32888888888888895,0.3584808546059933,0.3756441883037991,0.6,0.9519230769230769,1.5727633454932206,1.0,0.5657142857142857,0.16873278675017006,0.05183768687913053,0.0196427310877211
classification,baseline_lstm_natural_ce,billing,0,natural,128,514,208,0.9038461538461539,0.4,0.33333333333333337,0.35915216858613086,0.37776149776149776,0.6,0.9711538461538461,0.5089312551266871,1.0,0.5,0.15348660637536218,0.07331075404699038,0.021843991202622755
